Time,Qom,ComX,ComY,AomX1,AomY1,AomX2,AomY2
362000,427023,0.48345933123040213,0.47866988429194685,0.12733333333333333,0.6383333333333333,0.142,0.6733333333333333
362040,563660,0.4894153662373298,0.48494386982696425,0.12333333333333334,0.74,0.16066666666666668,0.78
362080,502357,0.47319516466045747,0.4883848537991907,0.606,0.52,0.6213333333333333,0.56
362120,754420,0.5013054567305569,0.48023959686469964,0.692,0.3983333333333333,0.726,0.4483333333333333
362160,937513,0.5245991376475135,0.5023189722880288,0.8253333333333334,0.39,0.8746666666666667,0.4483333333333333
362200,535146,0.4870077399438657,0.4816544924188914,0.576,0.39166666666666666,0.6,0.435
362240,676539,0.49510424282019705,0.48405113132182087,0.8293333333333334,0.3933333333333333,0.864,0.4483333333333333
362280,515608,0.48990377832254983,0.4922885732313438,0.11333333333333333,0.33666666666666667,0.13133333333333333,0.4
362320,835761,0.5170454878846945,0.4999245837027571,0.796,0.535,0.864,0.6233333333333333
362360,449746,0.5070210874582542,0.4858538930863199,0.6786666666666666,0.48,0.6993333333333334,0.5283333333333333
362400,688478,0.5020048629004848,0.497160909038972,0.6186666666666667,0.31666666666666665,0.674,0.38166666666666665
362440,517832,0.4890014599329511,0.47825978953276993,0.13466666666666666,0.3433333333333333,0.148,0.4066666666666667
362480,791843,0.5185752099848077,0.5073885311440105,0.6613333333333333,0.4,0.716,0.5783333333333334
362520,475224,0.496224752958605,0.48759228279716527,0.672,0.40166666666666667,0.7006666666666667,0.54
362560,681423,0.4935191846082879,0.4904594038260133,0.6706666666666666,0.49833333333333335,0.7046666666666667,0.5366666666666666
362600,549179,0.49020824782690775,0.48019991356795005,0.8506666666666667,0.5683333333333334,0.8673333333333333,0.6133333333333333
362640,675920,0.5087486546731369,0.4903268088925711,0.6793333333333333,0.3883333333333333,0.6953333333333334,0.48333333333333334
362680,1008625,0.532861856487793,0.4994601098855703,0.6686666666666666,0.4266666666666667,0.7066666666666667,0.5583333333333333
362720,493667,0.47434258045740696,0.48552150201113986,0.13733333333333334,0.325,0.14866666666666667,0.415
362760,795567,0.49972518048972203,0.49426319006863434,0.6393333333333333,0.4683333333333333,0.6713333333333333,0.6233333333333333
362800,445652,0.47532273463001035,0.47086684228949927,0.138,0.6033333333333334,0.14533333333333334,0.6366666666666667
362840,773047,0.5112434957598525,0.49583653818374973,0.116,0.6916666666666667,0.14133333333333334,0.7516666666666667
362880,442166,0.4793865833193867,0.46688249435732276,0.13866666666666666,0.33,0.14933333333333335,0.3933333333333333
362920,733308,0.5029493837059827,0.49115527172756895,0.6686666666666666,0.3883333333333333,0.6886666666666666,0.42833333333333334
362960,440705,0.4837412161574447,0.48347445191984056,0.12333333333333334,0.335,0.14,0.375
